"File","Coder","Coded","Id","Codename","Coded_Memo","Category","Category","Category"
"Entrevistado 12.docx","default","Mas precisa de um planejamento correto. O que é feito pelo ICMBio em termos de regramento, Esse planejamento ainda existe e é um bom planejamento. A dificuldade é a implementação disso. É fazer valer esse regramento. É conseguir fiscalizar. Esse é o problema","ctid:91","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 14.docx","default","Elas são importantes, mas elas podem não… Daqui a pouco, há um espaço e tempo menor, elas podem não mais cumprir o objetivo para os quais foram criadas","ctid:116","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 15.docx","default","é mais rápido do que das decisões, do que da fiscalização, do que da construção de leis que possuem.","ctid:139","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 16.docx","default","Aí falta fiscalização também. A fiscalização ainda é muito aquém, muito insuficiente do que ele deveria ser para controlar. Claro que é muita gente. Então não é só o trabalho de fiscalização, mas o trabalho de sensibilização, de orientação, o trabalho de controle, preventivo para que essas situações não aconteçam e que também a fiscalização não fique tão sobrecarregada a ponto de não dar conta porque são milhares de visitantes dezenas de fiscais, então...","ctid:165","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 7.docx","default","E para início de conversa, e não sei se é o fim também, o ICMBio quer criar a Reserva do Rio Famoso, que fica lá nos Carneiros. Aí eu falei, você tem a APA Costa dos Corais aqui, com dois fiscais pra 14 municípios, 2 estados. E vocês querem criar a Resex, que cria a Resex, agora ficar pelo 100% não dá certo não.","ctid:374","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 9.docx","default","Do meu ponto de vista, a prefeitura, ela deveria ter o setor disponível com pessoas, com projetistas, né? Pra que as associações, elas fossem lá. Elaborar seu projeto, porque assim, eu tenho muita ideia, mas ela tem que ser transformada em projeto. A câmara frigorífica é um deles. Eu tenho outros, né, pra tornar projetos em escola. Outra coisa é você capacitar os jovens, porque você não consegue mudar a cabeça de um adulto. É muito difícil você botar na cabeça de um adulto que aquele mangue, que aquele coral é importante. Não, porque toda vida ele chegou e isso nunca aconteceu, tá entendendo? Mas você formar a juventude é mais fácil. Mas pra isso você precisa de um suporte, você precisa trazer cursos profissionalizantes. E dentro do curso, o curso é uma forma de você orientar o jovem e oferecer uma oportunidade diferente. mostrar que também a pesca não é uma atividade para desocupado. Ela é uma atividade lucrativa. Mas a gente precisa dar esse suporte.","ctid:411","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 9.docx","default","É como eu te digo, assim. Eu acho que a escolha de secretário, essa mudança, ela atrapalha um pouco essa questão. E assim, tudo bem. Você tem um conselho regionalizado, né? Que trabalha esse tema. Aí quando sai um prefeito, que vem outro, aí nomeia outras pessoas. Muitas vezes as pessoas que são nomeadas, elas não têm muito interesse pelo meio ambiente. Eles não são indicados por conhecimento. Alguém que é sensível à causa, não é. É um cabide de emprego. Eu acho que isso deveria mudar, deveria ter um critério por lei. Para você colocar um secretário de meio ambiente, ele deveria passar por uma entrevista, alguma avaliação. e… no município, que dessa ele… que habilitasse ele a assumir a pasta. Porque, imagina, você vai pegar alguém que não é veterinário pra tomar conta de algo que… né? De uma secretaria de vigilância de ambiente. Entendeu? Isso é alguém que, assim, que não entende nada. Nada, às vezes, nada. A gente vai ter que procurar sim. Existem secretarias que elas têm que ser muito técnicas. E meio ambiente, eu acredito que é uma delas. No mínimo… Ah, tu vai pra meio ambiente, tu gosta. Me diz aí o que é que tu pensa. Isso e isso e pronto, tu vai… já entrar, eu acredito que assim, secretário de meio ambiente, mas que ele não tá nem inserido, não sabe, nesse conselho, não procurou saber, não sabe a que ponto tá, não tá entendendo como fica muito vago, porque assim, quer dizer, existe um conselho regionalizado, mas que não há participação principal, que é o secretário de meio ambiente, Que tipo de investimento? Quais projetos a gente pode ir buscar pra traze","ctid:412","1 Estado como principal responsável pela conservação ambiental","","Visão sobre o papel do Estado","Núcleo Profundo"
"Entrevistado 10.docx","default","Então, é um ponto de vista meu, eu acho que a pesca artesanal está fadada ao fracasso, eu acho que eu, no meu ponto de vista, já tenho um olhar adiante do fracasso da pesca artesanal, porque não tem políticas públicas voltadas para escolas, para manutenção,","ctid:49","1 Nenhum","","Estímulo à cultura local","Núcleo de Políticas"
"Entrevistado 9.docx","default","Não, porque assim, era tudo por vídeo. Porque não teve esse contato, beleza? Não teve. Mas foi tudo devido à pandemia, né? Eu acho que em outro momento a gente vai ter esses contatos, eu acho.","ctid:434","1 Nenhuma interação","","Grupos com maior interação","Núclo Instrumental"
"Entrevistado 4.docx","default","Não, espontaneamente não, geralmente a gente bota tudo ali e às vezes quando tem algum assunto, ou seja, algum grupo técnico ali, mas nunca, essas câmaras, tá, que são formadas, mas a gente nunca chegou a ponto de ter que fazer alguma coisa mesmo assim","ctid:306","1 Nunca","","Formação de coalizões para defesa de interesses","Núclo Instrumental"
"Entrevistado 8.docx","default","Não me recordo. Não me recordo ter precisado fazer essa circulação até o momento","ctid:408","1 Nunca","","Formação de coalizões para defesa de interesses","Núclo Instrumental"
"Entrevistado 9.docx","default","Não, porque assim, era tudo por vídeo.","ctid:433","1 Nunca","","Formação de coalizões para defesa de interesses","Núclo Instrumental"
"Entrevistado 14.docx","default","Devia ser totalmente proibido.","ctid:117","1 Não deve haver visitação à piscinas naturais","","Limitação de visitante em piscinas naturais","Núcleo de Políticas"
"Entrevistado 14.docx","default","Não, elas não ocorrem","ctid:96","1 Não há discussão prévia","","Preparação para as reuniões","Núclo Instrumental"
"Entrevistado 3.docx","default","Não. Quando eu comecei, eu até fazia os relatórios, não dava. Mas aí eu noto que é uma coisa institucional maior, que eu acho que... Não é cobrada a instituição alguma coisa desse tipo. Então, talvez se a Universidade tiver que se posicionar, ela me convida para falar. Mas eu acho que eu faço os relatórios que eu tenho que fazer quando eu faço para a Associação, mas eu não discuto muito. Se tem uma coisa que eu acho que vai mudar uma coisa, ou que a gente tenha que colocar a Rural, aí eu pergunto, geralmente eu marco e pergunto a reitoria, a diretoria, alguém. Mas assim, não é uma coisa de rotina.","ctid:260","1 Não há discussão prévia","","Preparação para as reuniões","Núclo Instrumental"
"Entrevistado 4.docx","default","Não. Não. Só quando é uma muito específica, tem meus desrespeitos, mas não","ctid:286","1 Não há discussão prévia","","Preparação para as reuniões","Núclo Instrumental"
"Entrevistado 9.docx","default","Não, porque assim, era tudo por vídeo.","ctid:432","1 Não há interação","","Interação entre conselheiros","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 3.docx","default","Não. Quando eu comecei, eu até fazia os relatórios, não dava. Mas aí eu noto que é uma coisa institucional maior, que eu acho que... Não é cobrada a instituição alguma coisa desse tipo. Então, talvez se a Universidade tiver que se posicionar, ela me convida para falar. Mas eu acho que eu faço os relatórios que eu tenho que fazer quando eu faço para a Associação, mas eu não discuto muito. Se tem uma coisa que eu acho que vai mudar uma coisa, ou que a gente tenha que colocar a Rural, aí eu pergunto, geralmente eu marco e pergunto a reitoria, a diretoria, alguém. Mas assim, não é uma coisa de rotina.","ctid:261","1 Não há repasses","","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 4.docx","default"," nem após, né, as reuniões, também não tem essa discussão.","ctid:287","1 Não há repasses","","Repasse das temáticas","Núclo Instrumental"
"Entrevistado 1.docx","default","É muito importante. E outra? Que fosse mais forte ainda. Mais fiscalização.","ctid:8","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 10.docx","default","Se a APA… Deveria continuar com a unidade de conservação aqui? Sim, sem dúvida","ctid:33","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 11.docx","default","Se não tivesse sido institucionalizado a área de preservação ambiental, apa costa dos corais, Toda essa área onde estão hoje estabelecidas atividades da economia do turismo, todas essas estariam degradadas.","ctid:61","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 12.docx","default","Sim, com certeza. E precisa ser federal.","ctid:81","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 13.docx","default"," Sim, tirar a atribuição administrativa significaria aumentar a desproteção. Existe É baixa, mas ela existe, permite-me, e as pessoas respeitam, pois está no papel. ","ctid:446","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 14.docx","default","Sim, deveria. Ela já tem grandes dificuldades em sendo,Imagine se não fosse, né?","ctid:108","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 15.docx","default","Sim. Menina, se não tivesse a APAC como unidade de conservação, a gente nem tinha mais taus. ","ctid:129","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 16.docx","default","Sim, sim, deveria.","ctid:152","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 17.docx","default"," continuar sendo uma unidade de conservação. E eu tenho certeza que os atores que temos grande parte deles irá continuar lutando para que ela permaneça dessa forma.

Pesquisadora: ","ctid:174","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 18.docx","default"," Sim, porque a unidade de conservação é essa unidade, todo mundo preservando, todo mundo tentando. É uma unidade, não é minha, não é sua, é uma única coisa que a gente vai beneficiar. É a todos.","ctid:204","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 2.docx","default","Não, tem que ser. Eu fui, durante muitos anos, arredio de criação de APA de unidades de conservação em área de manguezal, que é minha especialidade. Eu trabalho no ecossistema manguezal há 35 anos. E o manguezal, ele é, pela lei, pelo Código Florestal, uma área de preservação permanente. Não é uma unidade de conservação. Ele é um pote cortado de mangue no Brasil.","ctid:247","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 3.docx","default"," Sim. Sim, sem ela eu acho que era o que o que temos tinha acabado, vide Carneiros. Eu vi ao longo dos anos algumas coisas ali se sustentando, principalmente a pesca artesanal. Foi um incentivo da APA. da APA e dos parceiros da APA. ","ctid:266","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 4.docx","default","Sim, muito","ctid:295","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 5.docx","default"," Sim, com certeza, tem que ser, é muito importante ter a unidade de conservação para poder ter essas nomes, essas regras mais claras, para que todo mundo que esteja chegando no local saiba o que deve fazer, porém, falta melhor divulgação e a capacidade de gestão","ctid:322","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 6.docx","default","Sim, com certeza. A permanência do CNB, com os gestores, a forma com que a APA é vista, que essa região ali que vai de Tamandaré até a central norte de Alagoas, de Maceió, é vista, é diferente porque é a Unidade de Conservação.","ctid:348","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 7.docx","default","Sim, tem que continuar. Tem que continuar, porque é a maior área de proteção ambiental de corais do Atlântico Sul, é a maior do Brasil, entendeu?","ctid:370","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 8.docx","default","Acho que sim. Acho que sim, porque se não existisse a unidade de conservação, com todas as expressões externas que a gente recebe hoje, muito dificilmente a gente conseguiria manter algumas coisas que a gente ainda tem aqui, algumas singularidades.","ctid:397","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 9.docx","default"," Sim. Eu acho assim, regionalizar","ctid:422","1 Sim","","Continuidade da APA Costa dos Corais","Núcleo de Políticas"
"Entrevistado 5.docx","default","A gente tem locais muito bonitos e com potencial muito grande, principalmente a parte turística. Mas a gente vê isso, tem uma parte estrutural, de infraestrutura mesmo, física,","ctid:331","1 Turismo de massa","","Turismo desejado","Núcleo de Políticas"
"Entrevistado 5.docx","default","Eu entendo que não, é serviço, mas é indústria de hotel? Então, assim, a princípio, o que eu acho é que num país feito no Brasil que tem uma costa gigantesca, eu acho que cabe tudo, porém tem que ser tudo definido e estudado com a participação da academia, da sociedade e dos vários atores resistentes. Mas eu acho que, em geral, a gente tende, até por essa dificuldade que eu já falei de gestão, a gente tende mais a proibir coisas e matar potenciais por conta dessa falta de gestão. Porque quando a gente vê, por exemplo, no Caribe ou nas ilhas de Maurício, ou mesmo no Mediterrâneo, na Sardanha, na Córsica, nas ilhas baleárias da Espanha, Ibiza, Formentera, etc. O que a gente vê é que eles têm uma atividade muito mais permissiva nesse ambiente costeiro. E aí tem de hotéis, boate, residências, às vezes usinas nucleares, entendeu?","ctid:332","1 Turismo de massa","","Turismo desejado","Núcleo de Políticas"
"Entrevistado 10.docx","default","Vai, tem que existir, eu acho que tem que se desenvolver, eu não quero viver numa bolha, mesmo se eu estou como secretário no meu ambiente, a gente não pode idealizar uma bolha, não vou viver aqui nessa cidade, eu sou secretário, uma bolha de mata, eu não quero que nada venha para cá para desenvolver, não tem que se desenvolver, mas com estudos preliminares. Eu acho que tem que existir a expansão industrial, mas não como antigamente, na época da revolução industrial, por exemplo, principalmente lá no Rio de Janeiro, onde tudo começou em Salvador, que é, destrói tudo, destrói todos os hectares de mata atlântica para implantar uma indústria, não, tem formatos de implantar uma indústria, onde em áreas que não venha ter um impacto tão grande, que esse impacto que venha ter seja compensado, tem que existir, sem dúvida.","ctid:42","1 Utilização prioritária com viés econômico","","Utilização dos recursos da área","Núcleo de Políticas"
"Entrevistado 5.docx","default","Mas eu acho que, em geral, a gente tende, até por essa dificuldade que eu já falei de gestão, a gente tende mais a proibir coisas e matar potenciais por conta dessa falta de gestão. Porque quando a gente vê, por exemplo, no Caribe ou nas ilhas de Maurício, ou mesmo no Mediterrâneo, na Sardanha, na Córsica, nas ilhas baleárias da Espanha, Ibiza, Formentera, etc. O que a gente vê é que eles têm uma atividade muito mais permissiva nesse ambiente costeiro. E aí tem de hotéis, boate, residências, às vezes usinas nucleares, entendeu? E tudo acontece. Se você me perguntar se eu sou contra, por princípio não","ctid:326","1 Utilização prioritária com viés econômico","","Utilização dos recursos da área","Núcleo de Políticas"
"Entrevistado 1.docx","default","er algo forte, realmente, que cobre, mas que cobre legalmente. Não é que vou cobrar só porque cobro, não. Porque realmente tem a responsabilidade daquilo que está fazendo. Você está vendo a área degradada e pune mesmo se é dentro da lei.","ctid:7","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 10.docx","default","assim, tem que se continuar, tem que se melhorar, as políticas públicas têm que existir, tem que ter uma participação maior das universidades, as universidades, tanto as universidades federal, rural, como as universidades particulares, mas elas têm que estar mais presentes, fazendo estudos, envolvendo projetos, estágios, estágios remunerados com os prefeitos, estágios remunerados com as secretarias,  tem que se houver uma interação maior da sociedade, mais política pública e mais interação com a sociedade, tem que existir sim.","ctid:35","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 11.docx","default","Olha, elas são absolutamente necessárias. Se não tivesse sido institucionalizado a área de preservação ambiental, apa costa dos corais, Toda essa área onde estão hoje estabelecidas atividades da economia do turismo, todas essas estariam degradadas.","ctid:56","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 12.docx","default","É extremamente importante, as unidades de conservação conseguem de certa forma, e aí ainda dependendo da categoria, ainda consegue resguardar a questão da própria cultura local, consegue resguardar costumes, consegue resguardar o recurso ambiental, formas sujeitáveis de uso desses recursos, e essa forma sujeitável de uso do recurso está totalmente atrelado à cultura e ao modo de vida das pessoas. É muito, muito importante. a unidade de conservação de um modo geral. No caso de São Miguel do Milagre e Apa Costa dos Corais, é a categoria mais permissível das unidades. Então, é difícil gerir uma unidade como essa, ainda mais do tamanho que é a APA. Mas, se ainda assim não fosse APA Apa costa dos Corais, acho que a realidade seria bem diferente desses municípios. Eu acho que a unidade ainda consegue manter certos locais ainda, Um bom estado de conservação","ctid:80","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 13.docx","default"," As áreas de proteção ambiental, elas, do ponto de vista de criar algum tipo de restrição ao processo de degradação antrópica, elas são fantásticas e são como pequenas ilhas em diferentes graus de proteção","ctid:442","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 14.docx","default","As áreas de proteção ambiental, elas foram criadas já há muito tempo, as unidades de conservação é um dos tipos de áreas protegidas, elas são essenciais para a manutenção dos sistemas","ctid:107","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 15.docx","default","as o CONAPAC me ajudou muito a entender sobre as unidades e o recorte, como é que funciona. Hoje eu sei, mas eu queria aprender muito mais sobre reservas, sobre rebio, sobre outras coisas que não fossem unidades sustentáveis, sobre unidades de proteção integral, então, eu preciso aprender muito mais, mas sobre a APAC, eu sei um pouquinho.","ctid:127","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 17.docx","default","ervação para mim é vida. Meio ambiente para mim é vida. Quando eu digo vida, eu me incluo no meio, eu incluo tudo. Tudo. Que é vida.

Pesquisadora: E","ctid:173","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
"Entrevistado 18.docx","default","Super necessário, porque as áreas de proteção ambiental, elas fazem com que as pessoas tomem consciência que aquilo está sendo preservado para ele mesmo, ou para a futura geração, porque se eu degrado o meio ambiente hoje, amanhã não vai ter","ctid:203","2 Apoio a existência de áreas de proteção ambiental","","Existência das áreas de proteção ambiental","Núcleo de Políticas"
